id,currentBarWidth,splitOnRecType,stimulusTag,currentMeanLevel,currentAbsContrast,splitOnExperimentDate,celllabel,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
96,-20,"inh","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,-76.8361128554652,0,2,96
97,20,"cell-attach","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-0.370905893173825,0.368407142549137,2,97
98,20,"exc","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-29.7275343930128,0,2,98
99,20,"inh","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-28.6877936914268,0,2,99
100,20,"cell-attach","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,1.22780891131963,3.76969233805568,2,100
101,20,"exc","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-37.346845142374,0,2,101
102,20,"inh","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-6.89196402935872,0,2,102
103,20,"cell-attach","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,11.9450523264317,13.0399551698204,2,103
104,20,"exc","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-118.264775296878,0,2,104
105,20,"inh","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-20.7828916537644,0,2,105
106,20,"cell-attach","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,5.75035107432313,4.24465142442749,2,106
107,20,"exc","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,-146.946702225006,0,2,107
108,20,"inh","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,-93.4471916367459,0,2,108
109,20,"cell-attach","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,36.1625809041354,36.8376346743508,2,109
110,20,"exc","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-404.418089186226,0,2,110
111,20,"inh","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-57.1904731970724,0,2,111
112,20,"cell-attach","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,32.1683514168794,32.7991648249993,2,112
113,20,"exc","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,-426.283885043953,0,2,113
114,20,"inh","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,-117.158561028883,0,2,114
115,20,"cell-attach","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,52.4934882240206,52.4540380128621,2,115
116,20,"exc","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,-701.820335350755,0,2,116
117,20,"inh","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,25.0105492553639,0,2,117
118,20,"cell-attach","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,52.8582263480873,52.0843023875465,2,118
119,20,"exc","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,-802.834508635778,0,2,119
120,20,"inh","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,13.8695360207435,0,2,120
121,46.6666666666667,"cell-attach","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,0.645416106139024,0.645416106139024,2,121
122,46.6666666666667,"exc","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-41.7518543302973,0,2,122
123,46.6666666666667,"inh","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,20.1272177240308,0,2,123
124,46.6666666666667,"cell-attach","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,2.42339902584599,2.57160347290463,2,124
125,46.6666666666667,"exc","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-61.3143168504613,0,2,125
126,46.6666666666667,"inh","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-117.388012527998,0,2,126
127,46.6666666666667,"cell-attach","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,0.404991935731422,0.40749068635611,2,127
128,46.6666666666667,"exc","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-138.778827461089,0,2,128
129,46.6666666666667,"inh","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-15.6336063813877,0,2,129
130,46.6666666666667,"cell-attach","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,0.0622458760599411,0.0647446266846289,2,130
131,46.6666666666667,"exc","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,-93.7783700556592,0,2,131
132,46.6666666666667,"inh","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,-138.465057134417,0,2,132
133,46.6666666666667,"cell-attach","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,24.2392728987388,25.7332408443896,2,133
