id,splitOnRecType,splitOnPatchLocation,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,currentPatchLocation_1,currentPatchLocation_2,equivalentIntensity,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
38,"exc","1153   358","image","2016/08/10","00152",7,"Cell 2 - on parasol","keep",1153,358,0.203658256004248,0.199407172495471,-31.0505140349675,16.6942721079912,2,38
39,"inh","1153   358","image","2016/08/10","00152",7,"Cell 2 - on parasol","keep",1153,358,0.203658256004248,0.199407172495471,318.351389136923,104.759547765349,2,39
40,"cell-attach","1153   358","intensity","2016/08/10","00152",7,"Cell 2 - on parasol","keep",1153,358,0.203658256004248,0.199407172495471,-0.696310244546454,1.51902885010975,2,40
41,"exc","1153   358","intensity","2016/08/10","00152",7,"Cell 2 - on parasol","keep",1153,358,0.203658256004248,0.199407172495471,-12.8150359366182,10.8635791228745,2,41
42,"inh","1153   358","intensity","2016/08/10","00152",7,"Cell 2 - on parasol","keep",1153,358,0.203658256004248,0.199407172495471,-79.5304433006608,41.0841761798965,2,42
43,"cell-attach","1149   340","image","2016/08/10","00152",8,"Cell 2 - on parasol","keep",1149,340,0.245622078687212,0.199407172495471,6.80050045229817,5.01929358583949,2,43
44,"exc","1149   340","image","2016/08/10","00152",8,"Cell 2 - on parasol","keep",1149,340,0.245622078687212,0.199407172495471,-106.023470950505,20.1683961660125,2,44
45,"inh","1149   340","image","2016/08/10","00152",8,"Cell 2 - on parasol","keep",1149,340,0.245622078687212,0.199407172495471,108.274800293329,39.1218848100807,2,45
46,"cell-attach","1149   340","intensity","2016/08/10","00152",8,"Cell 2 - on parasol","keep",1149,340,0.245622078687212,0.199407172495471,1.7541755835958,1.99368104335198,2,46
47,"exc","1149   340","intensity","2016/08/10","00152",8,"Cell 2 - on parasol","keep",1149,340,0.245622078687212,0.199407172495471,-122.47988520751,15.0737186820571,2,47
48,"inh","1149   340","intensity","2016/08/10","00152",8,"Cell 2 - on parasol","keep",1149,340,0.245622078687212,0.199407172495471,-33.0672557899739,74.9343529306007,2,48
49,"cell-attach","1289   789","image","2016/08/10","00152",9,"Cell 2 - on parasol","keep",1289,789,0.261200174272828,0.199407172495471,10.5037406666216,8.93825335443617,2,49
50,"exc","1289   789","image","2016/08/10","00152",9,"Cell 2 - on parasol","keep",1289,789,0.261200174272828,0.199407172495471,-236.716454802817,23.9917605495615,2,50
51,"inh","1289   789","image","2016/08/10","00152",9,"Cell 2 - on parasol","keep",1289,789,0.261200174272828,0.199407172495471,22.7785368032172,18.9540009379962,2,51
52,"cell-attach","1289   789","intensity","2016/08/10","00152",9,"Cell 2 - on parasol","keep",1289,789,0.261200174272828,0.199407172495471,5.92380228762324,4.20194474831471,2,52
