id,splitOnRecType,splitOnExperimentDate,rotation,celllabel,seed,splitOnDelTag,centerSigma,background,contrast,MeanRespOn,SEM,nodeid,leafid
39,"exc","2017/01/12",135,"Cell",4,"keep",30,0.2,1,-47.3554565925821,9.33593040355915,5,39
40,"inh","2017/01/12",135,"Cell",4,"keep",30,0.2,1,-27.7268930574429,28.6856971175614,5,40
41,"cell-attach","2017/01/12",180,"Cell",4,"keep",30,0.2,1,0.455563355627202,0.397257001453579,5,41
42,"exc","2017/01/12",180,"Cell",4,"keep",30,0.2,1,-41.0883917210358,8.79170635656578,5,42
43,"inh","2017/01/12",180,"Cell",4,"keep",30,0.2,1,-20.5191382355654,12.4953196497302,5,43
44,"cell-attach","2017/01/12",225,"Cell",4,"keep",30,0.2,1,-0.537550776290779,0.330324243799863,5,44
45,"exc","2017/01/12",225,"Cell",4,"keep",30,0.2,1,-37.4355706890032,8.37916637800218,5,45
46,"inh","2017/01/12",225,"Cell",4,"keep",30,0.2,1,-0.898196459006248,20.5448035211174,5,46
47,"cell-attach","2017/01/12",270,"Cell",4,"keep",30,0.2,1,-0.109771735171091,0.441678437642227,5,47
48,"exc","2017/01/12",270,"Cell",4,"keep",30,0.2,1,-28.0594110613852,11.6643135912895,5,48
49,"inh","2017/01/12",270,"Cell",4,"keep",30,0.2,1,-30.9615939176932,13.982332670143,5,49
50,"cell-attach","2017/01/12",315,"Cell",4,"keep",30,0.2,1,0.283145883303004,0.126562655414267,5,50
51,"exc","2017/01/12",315,"Cell",4,"keep",30,0.2,1,-53.3327754572318,7.00372063717766,5,51
52,"inh","2017/01/12",315,"Cell",4,"keep",30,0.2,1,-7.07670718066811,19.4074239454968,5,52
1,"cell-attach","2017/02/07",0,"Cell1",1,"keep",30,0.2,0.9,-0.396271636686666,0.208328646431527,6,1
2,"cell-attach","2017/02/07",45,"Cell1",1,"keep",30,0.2,0.9,-1.21856872894173,1.2620554110245,6,2
3,"cell-attach","2017/02/07",90,"Cell1",1,"keep",30,0.2,0.9,-0.611441625755498,0.402457438749819,6,3
4,"cell-attach","2017/02/07",135,"Cell1",1,"keep",30,0.2,0.9,1.15247732771119,1.29767301561147,6,4
5,"cell-attach","2017/02/07",180,"Cell1",1,"keep",30,0.2,0.9,0.531134277190079,0.454275215207526,6,5
6,"cell-attach","2017/02/07",225,"Cell1",1,"keep",30,0.2,0.9,-3.78238825771737,3.73963890606747,6,6
7,"cell-attach","2017/02/07",270,"Cell1",1,"keep",30,0.2,0.9,-1.04241607101671,1.32360081598163,6,7
8,"cell-attach","2017/02/07",315,"Cell1",1,"keep",30,0.2,0.9,-1.23830388362,1.25695339497239,6,8
9,"cell-attach","2017/02/07",0,"Cell1",1,"keep",60,0.2,0.9,0.0848758419987293,0.114347975583572,6,9
10,"cell-attach","2017/02/07",45,"Cell1",1,"keep",60,0.2,0.9,-1.10400300030639,1.29980797433923,6,10
11,"cell-attach","2017/02/07",90,"Cell1",1,"keep",60,0.2,0.9,0.0741782856424097,0.0634621100017289,6,11
12,"cell-attach","2017/02/07",135,"Cell1",1,"keep",60,0.2,0.9,-1.11077474474874,1.2964714710102,6,12
13,"cell-attach","2017/02/07",180,"Cell1",1,"keep",60,0.2,0.9,0.289492107045302,0.133024081440128,6,13
14,"cell-attach","2017/02/07",225,"Cell1",1,"keep",60,0.2,0.9,0.159333701272894,0.0723407826584602,6,14
15,"cell-attach","2017/02/07",270,"Cell1",1,"keep",60,0.2,0.9,-0.0674600801024445,0.069344767299432,6,15
16,"cell-attach","2017/02/07",315,"Cell1",1,"keep",60,0.2,0.9,-1.27162286290826,1.25208407245541,6,16
17,"cell-attach","2017/02/07",0,"Cell1",4,"keep",30,0.2,0.9,0.116519809723275,0.0817392029286358,6,17
18,"cell-attach","2017/02/07",45,"Cell1",4,"keep",30,0.2,0.9,-0.557930805650382,0.422568001858297,6,18
19,"cell-attach","2017/02/07",90,"Cell1",4,"keep",30,0.2,0.9,1.22190610347346,1.25571559496412,6,19
20,"cell-attach","2017/02/07",135,"Cell1",4,"keep",30,0.2,0.9,-0.161644590482773,0.0471856087446733,6,20
