id,splitOnRecType,splitOnExperimentDate,celllabel,currentSpotContrast,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
7,"exc","2016/10/11","Cell3",-0.25,"keep",0.2,117.661256558642,10.5076788045083,8,7
8,"inh","2016/10/11","Cell3",-0.25,"keep",0.2,1153.44189240413,90.0279091685688,8,8
9,"exc","2016/10/11","Cell3",-0.125,"keep",0.2,70.0144179154965,9.80310392560738,8,9
10,"inh","2016/10/11","Cell3",-0.125,"keep",0.2,440.423974152257,194.378779873768,8,10
11,"exc","2016/10/11","Cell3",0.125,"keep",0.2,-99.0064890099972,4.63429092326952,8,11
12,"inh","2016/10/11","Cell3",0.125,"keep",0.2,-119.12923119199,9.3761887500955,8,12
13,"exc","2016/10/11","Cell3",0.25,"keep",0.2,-242.86196223008,15.7056758074348,8,13
14,"inh","2016/10/11","Cell3",0.25,"keep",0.2,-91.7079341959924,52.8767472863225,8,14
15,"exc","2016/10/11","Cell3",0.5,"keep",0.2,-555.199518494159,42.5072722374888,8,15
16,"inh","2016/10/11","Cell3",0.5,"keep",0.2,30.8821429814438,38.9115819515452,8,16
17,"exc","2016/10/11","Cell3",0.75,"keep",0.2,-873.177753862404,55.1885406876735,8,17
18,"inh","2016/10/11","Cell3",0.75,"keep",0.2,98.885512376852,48.3921779520307,8,18
19,"exc","2016/10/11","Cell3",0.9,"keep",0.2,-1014.28378076965,58.2983974330634,8,19
20,"inh","2016/10/11","Cell3",0.9,"keep",0.2,202.780126177231,90.683912762673,8,20
1,"exc","2016/10/11","Cell4",-0.9,"keep",0.2,431.942655188965,61.5796475398664,9,1
2,"inh","2016/10/11","Cell4",-0.9,"keep",0.2,5155.57139614198,226.295243937295,9,2
3,"exc","2016/10/11","Cell4",-0.75,"keep",0.2,452.228922163642,41.241647470646,9,3
4,"inh","2016/10/11","Cell4",-0.75,"keep",0.2,6577.08295354038,2233.68216893179,9,4
5,"exc","2016/10/11","Cell4",-0.5,"keep",0.2,442.084029077391,33.408558413138,9,5
6,"inh","2016/10/11","Cell4",-0.5,"keep",0.2,7190.81615136764,1121.56690197105,9,6
7,"exc","2016/10/11","Cell4",-0.25,"keep",0.2,307.852088015486,22.7934214488327,9,7
8,"inh","2016/10/11","Cell4",-0.25,"keep",0.2,3066.56990726485,383.365773241887,9,8
